Institution Type / Institution,Fice Code,Average of Resident Tuition and Fees,Average of Non-Resident Tuition and Fees,Average of In-District Tuition and Fees,Average of Out-of-District Tuition and Fees,Average of Books and Supplies,Average of Room and Board off-Campus,Average of Transportation Off-Campus,Average of Personal Expenses Off-Campus,Average of Total Resident Costs,Average of Total Non Resident Costs,Average of Total In District Costs,Average of Total Out of District Costs,Year,Public / Private
Angelo State University,3541,5111,13541,0,0,1000,7516,1910,1910,17447,25877,12336,12336,2008,Public
Lamar University,3581,6014,14444,0,0,1410,7092,2208,2076,18800,27230,12786,12786,2008,Public
Midwestern State University,3592,6237,14667,0,0,1200,6121,1285,1379,16222,24652,9985,9985,2008,Public
Prairie View A&M University,3630,6118,14458,0,0,1000,8500,1500,1500,18618,26958,12500,12500,2008,Public
Sam Houston State University,3606,5910,14250,0,0,1038,7496,3304,1724,19472,27812,13562,13562,2008,Public
Stephen F. Austin State University,3624,6432,14862,0,0,1020,7022,2581,1593,18648,27078,12216,12216,2008,Public
Sul Ross State University,3625,5058,13398,0,0,1137,6150,1720,1916,15981,24321,10923,10923,2008,Public
Sul Ross State University Rio Grande College,20,3456,11886,0,0,555,0,0,0,4011,12441,555,555,2008,Public
Tarleton State University,3631,5590,14020,0,0,1118,7252,1058,2162,17180,25610,11590,11590,2008,Public
Texas A&M International University,9651,5417,13757,0,0,1300,6750,1026,2205,16698,25038,11281,11281,2008,Public
Texas A&M University,3632,7899,22330,0,0,1200,8000,664,2187,19950,34381,12051,12051,2008,Public
Texas A&M University at Galveston,10298,6511,15148,0,0,1200,8000,693,2215,18619,27256,12108,12108,2008,Public
Texas A&M University-Commerce,3565,5130,13380,0,0,1300,7260,1400,1740,16830,25080,11700,11700,2008,Public
Texas A&M University-Corpus Christi,11161,5737,14167,0,0,1151,6782,1534,1367,16571,25001,10834,10834,2008,Public
Texas A&M University-Kingsville,3639,5424,13854,0,0,1150,6436,2188,2510,17708,26138,12284,12284,2008,Public
Texas A&M University-Texarkana,29269,4236,12666,0,0,1160,5124,2328,1648,14496,22926,10260,10260,2008,Public
Texas Southern University,3642,5878,14128,0,0,1279,7163,1696,2158,18174,26424,12296,12296,2008,Public
Texas State University,3615,6990,15420,0,0,1000,7160,1260,2000,18410,26840,11420,11420,2008,Public
Texas Tech University,3644,7083,15423,0,0,845,7210,1436,1890,18464,26804,11381,11381,2008,Public
Texas Woman's University,3646,6540,10140,0,0,960,5832,1132,2162,16626,20226,10086,10086,2008,Public
The University of Texas at Arlington,3656,8142,14778,0,0,882,6646,2400,1450,19520,26156,11378,11378,2008,Public
The University of Texas at Austin,3658,8508,19136,0,0,818,9500,962,2354,22142,32770,13634,13634,2008,Public
The University of Texas at Brownsville,30646,5258,13688,0,0,615,8587,1608,2482,18550,26980,13292,13292,2008,Public
The University of Texas at Dallas,9741,9850,21000,0,0,1200,6828,2241,1929,22048,33198,12198,12198,2008,Public
The University of Texas at El Paso,3661,5926,14356,0,0,1152,9954,1822,1494,20348,28778,14422,14422,2008,Public
The University of Texas at San Antonio,10115,7666,16096,0,0,1000,8322,2358,1750,21096,29526,13430,13430,2008,Public
The University of Texas at Tyler,11163,5742,14172,0,0,920,7682,1820,1174,17338,25768,11596,11596,2008,Public
The University of Texas Permian Basin,9930,4800,12870,0,0,900,4600,1601,1905,13806,21876,9006,9006,2008,Public
